,_id,text,orig_gender
607,train15050,in crossing jordan who does jordan end up with,n
608,train8175,write the name of two kings of chahamanas dynasty,m
609,train30963,who is barbra on dancing with the stars,n
610,train28963,who did the chiefs beat in the super bowl,n
611,train27439,what was robin's name in batman and robin,n
612,train20436,who introduced the concept of doctrine of signature,n
613,train15395,what is the moms name in everything everything,f
614,train1313,who is attorney general of india in present,n
615,train14918,who sang i know him so well with elaine page,m
616,train8335,who played long john silver in the pagemaster,n
617,train7943,who is the actress who plays the mayor in blue bloods,f
618,train44427,who was the mom on sweet life of zack and cody,f
619,train19895,who is the secretary general of the un and where is he from,m
620,train13457,who threw the golden apple in greek mythology,n
621,train15049,who owns most of the wealth in america,n
622,train27474,who played polly in after the thin man,m
623,train30224,who is the guy who does vogue 73 questions,m
624,train30853,who played florence's mother on the jeffersons,f
625,train47089,who played the original mark fowler in eastenders,n
626,train17118,who did romeo miller play college basketball for,n
627,train40283,who did mos def play in cadillac records,n
628,train7553,what is the proper name of a foot doctor,n
629,train21228,who does hamlet kill first in the play,n
630,train10985,who was born on the 2nd of september,n
631,train1280,who sings come back when you grow up girl,f
632,train40584,who is credited with developing the periodic table,n
633,train36344,who plays craig in ronny chieng international student,n
634,train43606,who wrote the song scars to your beautiful,n
635,train33776,who inaugurated maharashtra state on 1 may 1960,n
636,train43465,who played pea eye parker in lonesome dove,n
637,train30163,who plays caleb rivers in pretty little liars,n
638,train48835,who lived in the house of the faun,n
639,train15450,who plays the grim reaper in billy and mandy,n
640,train35851,who is the only member of the 15th lok sabha to get elected to the house unopposed,n
641,train20027,who sings the country song i loved her first,f
642,train29936,who is the first woman from africa to have won the nobel peace prize,f
643,train14772,who is the actress who plays linda on blue bloods,f
644,train14330,who plays the ice queen in the lion the witch and the wardrobe,f
645,train14232,who has the power to create all india services,n
646,train678,who found gold in the california gold rush,n
647,train28177,who sang the theme tune to the world is not enough,n
648,train40863,who is the president of tamil nadu 2017,n
649,train10540,who is best known as the founder of the sierra club quizlet,n
650,train14128,what is the prince's name in sleeping beauty,n
651,train30608,who is the singer in maria maria by santana,n
652,train3710,who plays tim mcgee's girlfriend on ncis,f
653,train18845,who plays the goblin in harry potter 8,n
654,train37437,who was billy the kid in young guns,n
655,train9934,who is credited with motivating the french to victory in the hundred years' war,n
656,train28885,who sings put me in coach i'm ready to play today,n
657,train22023,who plays the emperor in emperor's new groove,n
658,train40395,who plays phil's dad on modern family,m
659,train49696,who played jack in lord of the flies 1990,n
660,train35697,who performed with beyonce at the super bowl,n
661,train581,who hit the gong on take your pick,n
662,train35522,who did matt forte play for last year,n
663,train20835,who is known as father of early modern medicine,m
664,train23105,who wrote much too young to feel this old,n
665,train40137,who sings chained to the rhythm with katy perry,n
666,train33603,who invented the protocol of one volt per octave,n
667,train49649,who sang i'll still be loving you,n
668,train30513,who was the first black hockey player in the nhl,n
669,train16131,who played alice boyfriend on the brady bunch,m
670,train31553,who is frank ocean thinking about you about,n
671,train16502,what is the name of heroine in hindi medium,f
672,train34814,name the folded mountains of the western cape that enclose the little karoo,n
673,train270,who sings don't stop thinking about tomorrow,n
674,train43030,who do the kings in a deck of cards represent,m
675,train18822,who played phil in phil of the future,n
676,train5314,who was the actress that played aunt bea,f
677,train23998,who sang i got a brand new combine harvester,n
678,train624,who wrote the song keep me hanging on,n
679,train18848,who is sasha on dancing with the stars engaged to,n
680,train7109,who sang the theme tune to dear john,n
681,train10384,who does the voice of lois in family guy,m
682,train23278,who does the voice of nala in lion king,m
683,train4490,what is the princesses name in the movie brave,n
684,train43335,who plays ruby baker in the glass house,n
685,train37777,who is the parent company of fox news,n
686,train7516,who sings theme song for sons of anarchy,m
687,train30161,who does the voice of trump in our cartoon president,n
688,train7676,who plays the mom in the fault in our stars,f
689,train33363,who said a family that prays together stays together,n
690,train22796,who sang the original version of tennessee whiskey,n
691,train19687,who is the original singer of galway girl,f
692,train32949,who sang the song 1 2 3 4,n
693,train46300,who is the actress playing hayden on general hospital,f
694,train31072,who was peter quill's dad in guardians of the galaxy,m
695,train45939,who plays tom's wife on parks and recreation,f
696,train19324,who was put in boiling oil in the bible,n
697,train31721,who does godzilla fight in the 2014 movie,n
698,train23764,who starred in the movie four for texas,n
699,train48725,who won the german invasion of the soviet union,n
700,train47435,in the lay of sir launfal who denounces sir launfal to king arthur,m
701,train7155,who played in the movie eve's bayou,n
702,train37172,who played ed hall on one life to live,n
703,train21272,who came up with the name united states of america,n
704,train38854,what is the name of the first episode in series 5 of the simpsons,n
705,train49630,who has the most clean sheets in the world,n
706,train36834,who killed jordan kalfus in man on fire,m
707,train13831,who is the actress that plays red on orange is the new black,f
708,train28033,who was the first european to discover the mississippi river,n
709,train39916,who won the 2018 us open women's,f
710,train24766,who wins season 7 of rupaul's drag race,n
711,train25441,who is the main character in highschool dxd,n
712,train22285,who topped the charts in 2002 with imagine,n
713,train26100,who fought the battles at trafalgar and austerlitz which side won each battle,n
714,train30827,who played the president in independence day 2,n
715,train36832,who is the drummer of the red hot chili peppers,n
716,train35362,where did the last name martin come from,n
717,train26166,who plays justin in let's be cops,n
718,train362,who played charles holy roman emperor in the tudors,n
719,train11840,who won the ncaa women's lacrosse championship,f
720,train29016,who were the monkeys in the lazy song,n
721,train20598,who sang joshua fought the battle of jericho,n
722,train3940,who played general marshall in saving private ryan,n
723,train11844,woman who jumped off the empire state building,f
724,train18554,who wrote the song the shadow of your smile,n
725,train6534,who rebuilt kashi vishwanath mandir in 16 th century,n
726,train9693,who plays michelle in hot shots part deux,n
727,train35206,who plays beneatha in a raisin in the sun movie,n
728,train29127,who played chrissa in the american girl movie,f
729,train20564,who is emma from big brother married to,m
730,train33318,who is the writer of a century is not enough,n
731,train33473,who was the girl in the movie cocktail,f
732,train2997,who sang first cut is the deepest first,n
733,train7705,who was the youngest person elected president of united states,n
734,train36778,who has won the most seasons of survivor,n
735,train20228,who started the practice of gerrymandering back in 1812 and what state was he from,m
736,train25310,who is the girl in she's so mean video,f
737,train12033,who conceived job design as an important instrument to motivate employees,n
738,train21347,who has scored the most points in the ryder cup,n
739,train7808,who took over the direction of the st. petersburg ballet in 1869,n
740,train3795,who played melinda gordon's mother on ghost whisperer,f
741,train46473,who played the lone ranger on the greatest american hero,n
742,train26461,who plays the faun in pan's labyrinth,n
743,train9776,who sang as long as he needs me,m
744,train15911,who was murdered by my boyfriend based on,m
745,train27385,who played ainsley hayes in the west wing,n
746,train35149,who sang i got my eyes on you,n
747,train16558,who was the first woman to be nominated for best director at the academy awards,f
748,train46761,what is the meaning of the name akira,n
749,train16195,who plays lauren on the young and the restless,n
750,train30497,who plays olivia's brother on law and order svu,m
751,train49109,who was the last person publicly executed in the us,n
752,train25880,where does the last name walker originate from,n
753,train14702,who was the last emperor of the augustinian line,n
754,train43019,who won the women's wimbledon championship 2015,f
755,train37791,who is a pilot and what does he do,m
756,train43408,who developed the idea of garden city in england,n
757,train32226,who plays sister monica joan in call the midwife,f
758,train42784,who played tommy on 3rd rock from the sun,n
759,train12651,who killed the burn victim in grey's anatomy,n
760,train18181,who has scored the most test runs for australia,n
761,train4169,who married mr. wickham in pride and prejudice,n
762,train9417,what is the real name of mr bojangles,m
763,train1209,where did chip and dale dancers get their name,n
764,train16421,who is the oldest monarch to be crowned,n
765,train26308,who played charlie's mom in willy wonka and the chocolate factory,f
766,train37289,who sings the theme song for one on one,n
767,train49112,who did uconn women's basketball lose to,f
768,train10815,who governs a homeowners' or condominium association and its restrictions,n
769,train18152,who is the girl in coming to america,f
770,train7235,who is the drummer for noel gallagher's high flying birds,n
771,train23113,who is joining real housewives of beverly hills,f
772,train1443,what is the name of a water tornado,n
773,train8531,who plays earl's wife in my name is earl,f
774,train43211,who sang i want to walk you home,n
775,train3555,where does the name linkin park come from,n
776,train39904,who sang to know her is to love her,f
777,train28732,who coaches texas tech men's basketball team,m
778,train6083,who wrote the book my experiments with truth,n
779,train31706,who played rhea perlman's husband on cheers,m
780,train560,who sang turn back the hands of time,n
781,train4457,who is the famous coach in facing the giants,n
782,train4445,who is considered the mother of philippine folklore,f
783,train12897,who sings the song i'll do anything for you,n
